,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
152,ANXA1_MOUSE,ST-LT,1.96209899126233,0.369470984535864,5.31056313861062,2.0,0.0336773845199052,0.5796397312979089,,0.611111111111111,0.166666666666667
153,ANXA3_MOUSE,ST-LT,0.134162605422561,0.413020769392297,0.324832588007529,5.0,0.758458611754708,1.0,,0.618055555555556,0.395833333333333
154,ANXA4_MOUSE,ST-LT,0.254130488008775,0.546103506364432,0.465352236429673,1.0,0.722722009880373,1.0,,0.462962962962963,0.0185185185185185
155,ANXA5_MOUSE,ST-LT,0.576452793783461,0.407013506928472,1.41629892858756,2.0,0.292372453403407,0.999378352293702,,0.472222222222222,0.0277777777777778
156,ANXA6_MOUSE,ST-LT,-0.584201518909804,0.329762235354105,-1.77158405747243,6.0,0.126845622294744,0.8102456503932136,,0.457516339869281,0.457516339869281
157,AOFA_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.822222222222222,0.0444444444444444
158,AOFB_MOUSE,ST-LT,0.586023407527227,0.0722274905796954,8.1135784010191,3.0,0.0039136248344253,0.43687359246201984,,0.166666666666667,0.166666666666667
159,AOXA_MOUSE,ST-LT,-inf,,,,,1.0,oneConditionMissing,0.666666666666667,0.0
160,AP1G1_MOUSE,ST-LT,1.41835493722386,0.159200873582052,8.90921579329679,2.0,0.0123653696456827,0.496990371797293,,0.518518518518519,0.0740740740740741
161,AP1M1_MOUSE,ST-LT,-0.731662242912527,0.564630014387448,-1.29582598209252,3.0,0.2857258708778,0.9905753409946927,,0.466666666666667,0.133333333333333
162,AP2A1_MOUSE;AP2A2_MOUSE,ST-LT,0.600467809618881,0.763473346180937,0.786494790712151,0.0,,1.0,,0.666666666666667,0.0
163,AP2B1_MOUSE,ST-LT,0.830154838120583,0.757782383087395,1.09550559190664,3.0,0.353364784922312,1.0,,0.555555555555556,0.111111111111111
164,AP2S1_MOUSE,ST-LT,-0.649554997371742,0.339428810870538,-1.91367078034955,2.0,0.195775900715141,0.886990938324766,,0.333333333333333,0.111111111111111
165,AP3B1_MOUSE,ST-LT,-0.102493951379412,0.803989679422164,-0.127481675452694,2.0,0.91022086794107,1.0,,0.814814814814815,0.259259259259259
166,AP3B1_MOUSE;AP3B2_MOUSE,ST-LT,0.298641108883707,0.277584043892998,1.07585834075833,0.0,,1.0,,0.583333333333333,0.0277777777777778
167,AP3B2_MOUSE,ST-LT,0.906205008357662,0.365764405057356,2.47756478166747,5.0,0.0560080602569806,0.6570789677373342,,0.579365079365079,0.357142857142857
168,AP3D1_MOUSE,ST-LT,0.651920357662649,0.45718701477732,1.42593804415066,4.0,0.227030605804961,0.9164866168098468,,0.717171717171717,0.383838383838384
169,APC1_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.888888888888889,0.0
170,APEH_MOUSE,ST-LT,0.514427200222785,0.220226985110822,2.33589539430836,0.0,,1.0,,0.5,0.0555555555555556
171,API5_MOUSE,ST-LT,0.679151813400127,0.214121107300407,3.17181160681788,3.0,0.0504103599141477,0.6320831785422437,,0.444444444444444,0.0
172,APOA1_MOUSE,ST-LT,-0.187309270688916,0.548341612696116,-0.34159229639338,2.0,0.765209824011946,1.0,,0.533333333333333,0.0888888888888889
173,APOB_MOUSE,ST-LT,-0.855463760848785,0.278941263021831,-3.06682400295087,4.0,0.0374086077017124,0.5821010003007616,,0.365079365079365,0.253968253968254
174,APOE_MOUSE,ST-LT,,,,,,1.0,,,
175,AQP1_MOUSE,ST-LT,0.0301070825377074,0.460766101466046,0.0653413574521086,3.0,0.952012742819687,1.0,,0.407407407407407,0.0740740740740741
